date,open,close
2019-10-02,8268.67,8257.26
2019-10-03,8218.66,8146.04
2019-10-04,8150.59,8183.5
2019-10-07,7984.78,8211.0
2019-10-08,8179.01,8163.38
2019-10-09,8185.88,8581.98
2019-10-10,8526.02,8554.13
2019-10-11,8299.43,8344.01
2019-10-14,8280.08,8327.96
2019-10-15,8295.87,8177.59
2019-10-16,8055.66,7957.69
2019-10-17,8066.66,8059.92
2019-10-18,7920.6,7941.55
2019-10-21,8234.89,8183.16
2019-10-22,8276.17,8167.91
2019-10-23,7962.23,7482.9
2019-10-24,7421.09,7471.3
2019-10-25,7578.0,8634.87
2019-10-28,9407.91,9397.73
2019-10-29,9434.93,9225.09
2019-10-30,9096.23,9202.09
2019-10-31,9109.53,9211.04
2019-11-01,9164.56,9170.49
2019-11-04,9260.2,9262.63
2019-11-05,9286.04,9388.57
2019-11-06,9369.1,9293.5
2019-11-07,9197.53,9201.23
2019-11-08,9026.27,8807.26
2019-11-11,8726.17,8763.76
2019-11-12,8748.77,8774.51
2019-11-13,8773.1,8778.4
2019-11-14,8636.12,8649.02
2019-11-15,8630.5,8485.57
2019-11-18,8443.9,8213.95
2019-11-19,8074.42,8109.63
2019-11-20,8089.06,8088.62
2019-11-21,7869.66,7629.81
2019-11-22,7102.88,7297.91
2019-11-25,6879.02,7192.7
2019-11-26,7170.41,7076.69
2019-11-27,7147.85,7563.81
2019-11-29,7514.23,7711.93
2019-12-02,7297.91,7273.98
2019-12-03,7263.97,7320.98
2019-12-04,7200.62,7479.55
2019-12-05,7369.36,7374.81
2019-12-06,7338.68,7433.09
2019-12-09,7471.24,7374.3
2019-12-10,7341.75,7231.23
2019-12-11,7227.36,7200.23
2019-12-12,7192.93,7204.73
2019-12-13,7221.29,7253.87
2019-12-16,7091.92,6902.16
2019-12-17,6935.13,6619.71
2019-12-18,6615.24,6956.86
2019-12-19,7150.56,7177.05
2019-12-20,7149.87,7184.15
2019-12-23,7553.03,7432.07
2019-12-24,7373.55,7253.77
2019-12-26,7189.06,7301.38
2019-12-27,7136.38,7216.1
2019-12-30,7314.74,7240.99
2019-12-31,7243.64,7173.32
2020-01-02,7139.73,6983.27
2020-01-03,7340.46,7343.08
2020-01-06,7544.72,7539.9
2020-01-07,7895.13,8073.69
2020-01-08,8332.2,7963.35
2020-01-09,7878.02,7917.54
2020-01-10,7841.03,8059.49
2020-01-13,8076.86,8111.83
2020-01-14,8526.87,8767.56
2020-01-15,8730.0,8761.57
2020-01-16,8724.82,8705.0
2020-01-17,8903.53,8879.71
2020-01-21,8656.76,8531.86
2020-01-22,8659.0,8670.39
2020-01-23,8422.98,8370.98
2020-01-24,8413.42,8498.76
2020-01-27,8735.67,8932.12
2020-01-28,9081.34,9010.86
2020-01-29,9303.16,9393.98
2020-01-30,9338.21,9506.82
2020-01-31,9328.39,9302.67
2020-02-03,9352.0,9316.7
2020-02-04,9182.81,9186.37
2020-02-05,9419.17,9655.99
2020-02-06,9698.66,9747.29
2020-02-07,9810.01,9775.59
2020-02-10,9821.41,9829.56
2020-02-11,9801.02,10247.73
2020-02-12,10343.4,10313.47
2020-02-13,10151.66,10250.31
2020-02-14,10269.52,10341.64
2020-02-18,9703.85,10043.49
2020-02-19,9703.85,10139.22
2020-02-20,9565.49,9551.96
2020-02-21,9694.56,9681.84
2020-02-24,9811.98,9601.09
2020-02-25,9626.43,9359.95
2020-02-26,9158.36,8831.14
2020-02-27,8804.27,8915.34
2020-02-28,8586.43,8577.21
2020-03-02,8758.39,8883.12
2020-03-03,8858.45,8713.97
2020-03-04,8717.21,8739.58
2020-03-05,9100.59,9150.9
2020-03-06,9129.12,9085.12
2020-03-09,7803.64,7842.03
2020-03-10,8064.83,7978.8
2020-03-11,7821.68,7828.23
2020-03-12,6064.27,6037.45
2020-03-13,5403.56,5391.08
2020-03-16,4565.63,4939.25
2020-03-17,5266.9,5375.11
2020-03-18,5141.48,5328.51
2020-03-19,5622.15,6215.57
2020-03-20,6659.99,6187.59
